id,value
flare,
flare.vis,
flare.sure.bitter,1
flare.sure.calloused,3
flare.sure.cynical,1
flare.sure.darkest,1
flare.sure.different,1
flare.sure.doubtful,1
flare.sure.fearful,1
flare.sure.financial,3
flare.sure.fundamental,1
flare.sure.gay,1
flare.sure.gracious,1
flare.sure.grateful,3
flare.sure.greatest,1
flare.sure.honest,1
flare.sure.likeliest,1
flare.sure.lucky,1
flare.sure.new,9
flare.sure.old,3
flare.sure.perfect,1
flare.sure.political,1
flare.sure.same,1
flare.sure.selfless,1
flare.sure.timeless,1
flare.sure.true,3
flare.sure.unsung,1
flare.sure.unyielding,3
flare.unsure.Asian,1
flare.unsure.Democratic,1
flare.unsure.Hispanic,1
flare.unsure.alive,1
flare.unsure.awake,1
flare.unsure.best,7
flare.unsure.better,3
flare.unsure.black,1
flare.unsure.blue,1
flare.unsure.brave,3
flare.unsure.built,1
flare.unsure.call,1
flare.unsure.chief,1
flare.unsure.cold,1
flare.unsure.coming,1
flare.unsure.common,1
flare.unsure.connected,1
flare.unsure.disabled,3
flare.unsure.done,3
flare.unsure.earned,1
flare.unsure.enduring,1
flare.unsure.false,1
flare.unsure.forgotten,1
flare.unsure.go,1
flare.unsure.great,1
flare.unsure.hard,1
flare.unsure.harder,3
flare.unsure.hopeful,1
flare.unsure.individual,1
flare.unsure.just,1
flare.unsure.last,1
flare.unsure.less,1
flare.unsure.little,3
flare.unsure.living,1
flare.unsure.long,7
flare.unsure.many,7
flare.unsure.more,7
flare.unsure.much,5
flare.unsure.national,1
flare.unsure.next,1
flare.unsure.open,1
flare.unsure.other,3
flare.unsure.own,1
flare.unsure.past,1
flare.unsure.poor,1
flare.unsure.possible,1
flare.unsure.proved,1
flare.unsure.red,1
flare.unsure.rich,1
flare.unsure.shared,1
flare.unsure.singular,1
flare.unsure.standing,1
flare.unsure.steep,1
flare.unsure.straight,1
flare.unsure.strained,1
flare.unsure.thriving,1
flare.unsure.waking,1
flare.unsure.white,1
flare.unsure.worst,1
flare.unsure.young,3
